name,address,suburb,industry,longitude,latitude,indoor,outdoor
Cafe Sua Da,258 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96553,-37.79671,45,6
Brother Bull,832-834 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9649,-37.79668,42,0
Clyde Hotel,377-391 Cardigan Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96575,-37.79726,70,50
The Longing Flavour,768-804 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96517,-37.79783,50,0
Masters Of Burgerology,768-804 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96517,-37.79783,50,16
Wild Timor Coffee Carlton Pty Ltd,249-263 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96526,-37.79872,17,24
Toothpicks Cafe,714-736 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96489,-37.79947,60,36
Claypot Kingdom,740-750 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96476,-37.799,40,0
E Dumpling,740-750 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96476,-37.799,32,8
Thresherman's Bakehouse,221-229 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96673,-37.79886,70,50
New York Minute,235-237 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9663,-37.79881,33,24
Dumpling ADA,205-207 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96656,-37.80046,35,16
Il Cantuccio Restaurant,209 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9666,-37.80042,100,20
Papa Gino's Pizza Restaurant,219-221 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96672,-37.80019,100,40
Cafe Corretto,225-229 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96674,-37.80005,60,55
New Zealand Natural Ice Cream,241 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.96679,-37.79978,0,16
La Parisienne Pates,253 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96683,-37.79954,38,12
University Cafe,255-257 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96684,-37.79948,120,56
Lygon Food Store,263 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96687,-37.7993,29,45
Tiamo Coffee,303 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96709,-37.79822,50,29
Tiamo 2,305 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96708,-37.79818,125,29
Milk The Cow,323 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96713,-37.79777,80,20
Heartattack and Vine,329 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96715,-37.79764,35,16
Jimmy Watsons,331-335 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96717,-37.79751,120,28
Intersection Cafe,337-343 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96723,-37.79735,39,6
Le Miel Et Le Lune,330-332 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96638,-37.79686,35,8
Adonai Foods,478 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96921,-37.79477,30,16
Chong Quing,570 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96904,-37.79314,66,0
Rathdowne & Reeves Cafe,497-513 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97077,-37.79366,48,22
Curry in Carlton,192 Elgin Street CARLTON 3053,Carlton,Takeaway Food Services,144.96816,-37.79698,20,6
Green Man's Arms,414-422 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96781,-37.79695,40,0
Campos Coffee,138-144 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96981,-37.79715,36,12
Shompen,401 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97032,-37.79692,22,0
The Beaufort,415-421 Rathdowne Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.97043,-37.79652,80,0
The Moor's Head,350-352 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96927,-37.79771,32,0
Vincent The Dog,348 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96927,-37.79778,21,12
Cafe Lua,161-169 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96929,-37.79758,24,36
Masani's Italian Dinning & Terrace,313-315 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96849,-37.79838,60,30
The Shaw Davey Slum,171-175 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96871,-37.79751,300,20
The Heart of Carlton,189 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96821,-37.79746,10,5
Crinitis Southern Italian Cuisine,198-204 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96784,-37.79851,110,86
Yo-Chi,194-196 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96802,-37.79844,40,20
Market Lane Coffee,176-178 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96849,-37.79857,34,10
The Carlton Wine Room,172-174 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96859,-37.79858,126,20
Trotters Bistro,398-400 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96776,-37.79763,125,24
Brunetti Carlton,368-386 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96815,-37.79804,300,100
Seasalt Fish & Sushi Bar,364 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96764,-37.79828,43,17
Sea Saltfish & Sushi Bar,362 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96763,-37.79833,43,17
Gemma Simple Italian,183 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96838,-37.79753,60,10
The Vertue of the Coffee Drink,8 Raffa Place CARLTON 3053,Carlton,Cafes and Restaurants,144.96838,-37.79769,80,25
Doc Pizza & Mozarella Bar,295-297 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96844,-37.79899,60,30
Shakahari Vegetarian Restaurant,201-203 Faraday Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9678,-37.799,76,20
Il Vicolo,48-50 Grattan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96788,-37.8006,180,4
Grill'd Healthy Burgers,350 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96753,-37.79887,120,32
Boost Juice,344 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.9675,-37.799,3,4
Lavenzzi Gelateria,334-336 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.96749,-37.79916,4,16
DOC Espresso,326-328 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96747,-37.79932,50,60
Donnini's,320 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9675,-37.79954,70,24
Copperwood,316-318 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96759,-37.79963,160,33
St. Charly,306-308 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96742,-37.79979,64,32
Carlton Yacht Club Bar,298 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96738,-37.79999,0,40
East Imperial,319-323 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96988,-37.79918,100,0
Abla's Restaurant,109 Elgin Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97103,-37.79781,75,0
Paris Go Bistro,114-116 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97088,-37.79696,50,4
Carlton Wok,154-156 Rathdowne Street CARLTON 3053,Carlton,Takeaway Food Services,144.97107,-37.79586,24,0
Bloom Coffee Bar,138-150 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97104,-37.79605,22,6
Ziyka,138-150 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97104,-37.79605,8,0
Osc&r On Rathdowne,180 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97119,-37.79514,30,6
Sushi Ten,178 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97118,-37.79519,26,0
Bangkok Rain,176 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97118,-37.79523,23,12
Zikya Pizza Cottage,174 Rathdowne Street CARLTON 3053,Carlton,Takeaway Food Services,144.97117,-37.79528,15,0
Fu Lu Chinese Cafe,172 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97116,-37.79532,20,4
The Olive Jar,168-170 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97115,-37.79538,75,9
Moretons Brasserie,166 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97114,-37.79544,38,0
Cure Bar & Eatery,164 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97113,-37.79548,35,0
Calrton Pizzeria Bar and Restaurant,160-162 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97112,-37.79554,20,12
Dan O'Connell Hotel,223-227 Canning Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.97339,-37.79303,75,20
French Lettuce,237-239 Nicholson Street CARLTON 3053,Carlton,Takeaway Food Services,144.97514,-37.7944,12,9
Ethos Foodstore,161-163 Nicholson Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9748,-37.79639,60,0
Scopri Italian Food & Wine,191 Nicholson Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97492,-37.79569,60,0
Books N Bites Cafe,222-224 Pelham Street MELBOURNE 3000,Carlton,Cafes and Restaurants,144.95833,-37.80169,60,12
Haymarket Place,212 Berkeley Street CARLTON 3053,Carlton,Cafes and Restaurants,144.959,-37.80052,47,10
Baretto Cafe,153-163 Barry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.95928,-37.80023,120,15
Cafe  Commercio,156-180 Berkeley Street CARLTON 3053,Carlton,Cafes and Restaurants,144.95882,-37.80156,115,20
The Dumplings & Tea Co,196-198 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.95923,-37.80186,48,24
Animal Orchestra,163 Grattan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96342,-37.8006,48,88
Mantra Lounge,167 Grattan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9633,-37.80058,32,34
Lincoln Bakery Cafe,22-40 Lincoln Square North CARLTON 3053,Carlton,Cafes and Restaurants,144.96273,-37.80134,0,36
Cafe Fillings,723-741 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96339,-37.80087,34,22
Lanzhou Beef Noodle Bar,743-751 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96364,-37.80062,65,40
KFC Carlton,743-751 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96364,-37.80062,22,15
Rakuzen Simple Japanese,251-257 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9651,-37.80077,36,12
Domino's Pizza,251-257 Cardigan Street CARLTON 3053,Carlton,Takeaway Food Services,144.9651,-37.80077,12,10
Rice Bar Not Only Rice,251-257 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9651,-37.80077,58,40
Colourful Yunnan Restaurant,680-682 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96424,-37.80063,150,8
Xian Famous Foods,678 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96423,-37.80069,60,0
Carlton Black Ball,644-658 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96428,-37.80132,25,0
Oko Oko,644-658 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96428,-37.80132,40,0
Subway Carlton,660-674 Swanston Street CARLTON 3053,Carlton,Takeaway Food Services,144.96433,-37.80101,30,9
Momo Sushi,660-674 Swanston Street CARLTON 3053,Carlton,Takeaway Food Services,144.96433,-37.80101,18,6
Yuan Fang,604 Swanston Street CARLTON 3053,Carlton,Takeaway Food Services,144.96434,-37.80195,24,0
Spice 9 Grill,604 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96434,-37.80195,74,0
Norsiah's Kitchen,604 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96434,-37.80195,28,12
Don Tojo,156-164 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96563,-37.80133,48,10
Jokamz,156-164 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96563,-37.80133,45,4
Tutto Premium Frozen Yogurt And Dessert,81-109 Grattan Street CARLTON 3053,Carlton,Takeaway Food Services,144.96621,-37.80115,16,20
Roy's Cafe,117 Grattan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96562,-37.8008,24,21
Casa Del Gelato,163-165 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.96643,-37.80187,15,24
Kokoblack,167 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96645,-37.80179,35,20
Stuzzichino,169 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96646,-37.80172,48,34
Mixity Restaurant and Cafe,171 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96647,-37.80166,36,24
Hwatu,173 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96648,-37.80161,36,12
Chocolateria San Churro,175 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96649,-37.80156,60,24
Cafe Cavallino,177-183 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96651,-37.80145,159,68
Cafe Notturno,177-183 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96651,-37.80145,100,48
Buenos Aires Steakhouse,189 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96649,-37.80119,45,20
Leyalina,191 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9665,-37.80114,48,26
Tono On Borsari,201-203 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96667,-37.8009,70,58
Gelatissimo Carlton,197 Lygon Street CARLTON 3053,Carlton,Takeaway Food Services,144.96665,-37.80102,0,18
Seasons Provedore,199 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96666,-37.80097,20,18
Ma Xiao Er Spicy Hot Pot Dips,111-113 Grattan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96577,-37.80082,46,0
NL House,115 Grattan Street CARLTON 3053,Carlton,Takeaway Food Services,144.96568,-37.80081,12,16
T&Y Penguin Kitchen,258 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96717,-37.80114,45,12
Il Gusto,256 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96716,-37.80119,75,24
Villa Romana,246-252 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96734,-37.80138,200,60
Front Cooking School,242-244 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96726,-37.80151,40,8
Piccolo Mondo,240 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96724,-37.80158,120,28
Spaghettata Restaurant,238 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96723,-37.80163,130,44
Carmine's Bistro,234-236 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96723,-37.80169,100,50
Lygon Dolce Vita,230 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96721,-37.8018,45,12
Little Lygon Restaurant,220-228 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96719,-37.80192,26,50
Mondi Cafe,220-228 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96719,-37.80192,30,20
Pertutti Cafe Restaurant,204-218 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96714,-37.80219,80,12
Players On Lygon,192-202 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.9671,-37.80247,0,12
Assembly Store,62 Pelham Street CARLTON 3053,Carlton,Takeaway Food Services,144.96729,-37.80262,15,6
La Cacciatora Restaurant,218-224 Drummond Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9686,-37.80116,80,26
The Museum Cafe,11 Nicholson Street CARLTON 3053,Carlton,Cafes and Restaurants,144.97163,-37.80396,200,0
Coffee on Drummond,18-40 Queensberry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96828,-37.8048,24,8
Lemongrass,174-178 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96678,-37.80306,64,16
Il Gambero On The Park,166-168 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96681,-37.80331,221,28
Vodka Temple,160-162 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96677,-37.80344,200,40
Mawal,152-154 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96674,-37.80359,100,20
La Spaghetteria Ristorante,132-136 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96669,-37.80396,180,42
Da Guido,128-130 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96668,-37.80404,60,14
Il Dolce Freddo,116 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,22,24
Saigon Pho Carlton,106 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,35,10
Carlton Curry House,108 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,28,12
Ying Thai 2,110 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,30,20
Pho Non La,112 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,20,22
Killiney Kopitiam,114 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,27,18
Lygon Charcoal Grill & Steakhouse,120 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,100,29
Tamra Siam,122 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,30,16
Thai City Restaurant,124 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,55,24
Shukufuku Japanese Bento,126 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,22,8
Confucius Says,118 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,30,20
Lambs Restaurant,80 Queensberry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9667,-37.80444,85,22
Black Cat on Lygon,95-97 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96595,-37.80468,50,0
I Love Istanbul,95-97 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96595,-37.80468,42,12
Toto's Pizza,99-109 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96598,-37.8045,70,28
Mercadante Pizza,123-125 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96603,-37.80409,45,30
Universal Pizza,135-137 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96608,-37.80391,100,60
The Balcony Shisha Bar,143-145 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.9661,-37.80378,40,0
No. 143 Lygon,143-145 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9661,-37.80378,60,20
Mad Hare,147 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96611,-37.80373,18,18
Tank Fish And Chippery,149 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96611,-37.8037,20,18
Hotel Lincoln,91-95 Cardigan Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96451,-37.80449,62,32
Mid Square Coffee,95-125 Pelham Street CARLTON 3053,Carlton,Takeaway Food Services,144.96442,-37.80282,12,0
127 Cafe Go,127-135 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96395,-37.80277,42,0
Cross Roads Carlton,522-536 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96364,-37.80431,45,0
The Queensberry Pour House,210 Queensberry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96203,-37.80421,26,2
Wokks,607-621 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96296,-37.80404,80,0
The Wonder Beans,607-621 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96296,-37.80404,25,8
Kaprica,19-21 Lincoln Square South CARLTON 3053,Carlton,Cafes and Restaurants,144.96278,-37.80336,60,15
Cafe Tre Sette,139-143 Bouverie Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9617,-37.80322,42,24
Stovetop,108-128 Leicester Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96104,-37.80335,70,16
Refuel Catering,224-252 Queensberry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96097,-37.80393,40,0
Mama Tsai,165 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96107,-37.80239,28,12
Momo Sushi Melbourne,163 Pelham Street CARLTON 3053,Carlton,Takeaway Food Services,144.96113,-37.8024,10,0
Briscola Espresso,159 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96126,-37.80241,30,16
Briscola Cafe,157 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96134,-37.80242,20,16
Porta Via,179-201 Pelham Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96006,-37.80242,0,40
Bar Scopa,127-133 Leicester Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96021,-37.8029,14,16
Seven Seeds,106-114 Berkeley Street CARLTON 3053,Carlton,Cafes and Restaurants,144.95913,-37.80288,90,0
Duke Pizza,660-674 Elizabeth Street MELBOURNE 3000,Carlton,Takeaway Food Services,144.9585,-37.80279,8,0
Arabesque,642-644 Elizabeth Street MELBOURNE 3000,Carlton,Cafes and Restaurants,144.95861,-37.80329,80,13
The Last Jar,614-616 Elizabeth Street MELBOURNE 3000,Carlton,"Pubs, Taverns and Bars",144.95891,-37.80388,90,0
Lien Lien Cafe,520-522 Elizabeth Street MELBOURNE 3000,Carlton,Cafes and Restaurants,144.95975,-37.80579,36,0
Red Capsicum,255-259 Queensberry Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96004,-37.80442,40,12
Humble Rays,71-79 Bouverie Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96141,-37.80478,60,12
Book Coffee Print Workshop,225-227 Queensberry Street CARLTON 3053,Carlton,Takeaway Food Services,144.96122,-37.80453,12,0
Brother Dough,194-208 Victoria Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96066,-37.80608,71,0
Queensberry Hotel,593-597 Swanston Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.96291,-37.80475,60,0
Mr Bello,55 Cardigan Street CARLTON 3053,Carlton,Takeaway Food Services,144.96428,-37.80544,20,12
Cream & Crumbs,73-81 Cardigan Street CARLTON 3053,Carlton,Takeaway Food Services,144.96436,-37.80506,14,0
Woodside Green,87 Cardigan Street CARLTON 3053,Carlton,Takeaway Food Services,144.96445,-37.80486,18,18
Kitchen 520,514-520 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96353,-37.80484,38,0
The Big Mama,462-468 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96333,-37.80601,48,6
Cafe Crema,470-496 Swanston Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96354,-37.80559,30,0
Coffee On Cardigan,23-37 Cardigan Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96396,-37.80593,20,68
Tam Tam,1-7 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96564,-37.80674,40,0
The Curtin,27-31 Lygon Street CARLTON 3053,Carlton,"Pubs, Taverns and Bars",144.9657,-37.8062,71,16
Chinger Biang Biang Noodle,74 Victoria Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96535,-37.8067,20,0
Hi Chong Qing Cafe & Noodle Bar,16-26 Orr Street CARLTON 3053,Carlton,Cafes and Restaurants,144.9654,-37.80634,28,8
Dragonball Dumpling,70 Victoria Street CARLTON 3053,Carlton,Takeaway Food Services,144.96547,-37.80671,20,0
Carlton Megabytes,68 Victoria Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96553,-37.80672,33,6
Artee Cafe,56-62 Lygon Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96644,-37.80567,42,7
Epocha Restaurant,49 Rathdowne Street CARLTON 3053,Carlton,Cafes and Restaurants,144.96856,-37.80577,100,30
Carlton Cafe,400 Royal Parade CARLTON NORTH 3054,Carlton,Cafes and Restaurants,144.96155,-37.78506,70,0
RAB Bar & Restaurant,33-71C Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9542,-37.82019,30,0
Code 3,285-313 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95102,-37.81381,30,66
Ichi Maki,285-313 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.95102,-37.81381,60,0
Hunger Game,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,26,0
Pie Face,85-161 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.9522,-37.81843,40,0
Grill'd,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,60,36
Red Rooster,85-161 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.9522,-37.81843,36,0
In A Rush Espresso,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,40,0
Grains Galore Bakery & Kebabs,85-161 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.9522,-37.81843,12,0
Southern Asian Cuisine,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,43,0
Gaslight Project,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,30,0
Velluto,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,20,0
Spanish Doughnuts,85-161 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.9522,-37.81843,20,0
Mad Mex,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,28,20
Red Rooster 2,85-161 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.9522,-37.81843,18,0
Hungry Jack's,85-161 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.9522,-37.81843,30,0
Theobroma Chocolate Lounge,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,46,40
Hanger Cafe Spencer Street,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,98,0
The Coffee Club,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,70,0
Starbucks,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,90,20
Pasquale,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,16,0
Schnitz,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,65,16
Genki Express,163-261 Spencer Street DOCKLANDS 3008,Docklands,Takeaway Food Services,144.95056,-37.8145,12,0
Degani @ Southern Cross Station,163-261 Spencer Street DOCKLANDS 3008,Docklands,Cafes and Restaurants,144.95056,-37.8145,45,0
